Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,,,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Algeria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,4,4,4,4,3,3,4,4,5,5,5,6,6,7,7,7,6,6,6,6,
Algeria,Current Health Expenditure (CHE) per Capita in US$,,62,67,67,76,93,101,117,152,208,209,230,288,337,333,361,293,262,260,258,251,215,
Algeria,Current Health Expenditure (CHE),in million current US$,"1,912","2,101","2,117","2,444","3,024","3,339","3,926","5,158","7,185","7,354","8,249","10,536","12,545","12,660","13,999","11,583","10,574","10,681","10,811","10,700","9,336",
Algeria,Gross Domestic Product (GDP) per Capita in US$,,"1,780","1,755","1,795","2,117","2,625","3,131","3,500","3,972","4,947","3,898","4,496","5,473","5,611","5,520","5,516","4,197","3,967","4,135","4,184","4,008","3,399",
Algeria,Population (in thousands),,"30,775","31,201","31,625","32,056","32,510","32,957","33,435","33,984","34,570","35,196","35,856","36,544","37,261","38,001","38,760","39,543","40,339","41,137","41,927","42,705","43,452",
Angola,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2,4,3,4,4,3,3,3,3,4,3,3,2,3,2,3,3,3,3,3,3,
Angola,Current Health Expenditure (CHE) per Capita in US$,,13,29,29,35,50,54,70,93,136,120,97,122,122,143,131,108,94,113,84,69,51,
Angola,Current Health Expenditure (CHE),in million current US$,213,490,509,632,934,"1,054","1,407","1,941","2,942","2,702","2,258","2,958","3,068","3,736","3,547","3,028","2,744","3,409","2,624","2,245","1,696",
Angola,Gross Domestic Product (GDP) per Capita in US$,,681,645,873,983,"1,255","1,901","2,598","3,121","4,082","3,124","3,587","4,608","5,084","5,229","5,371","4,131","3,469","4,039","3,241","2,612","1,743",
Angola,Population (in thousands),,"16,394","16,942","17,516","18,124","18,771","19,451","20,162","20,910","21,692","22,508","23,364","24,259","25,188","26,147","27,128","28,128","29,155","30,209","31,274","32,354","33,428",
Botswana,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,6,6,6,6,5,5,6,6,7,6,6,6,6,6,6,6,7,6,6,6,
